participant_id,actual_age,predicted_age,absolute_error,group,features_used_this_fold
13,63.0,39.21428571428572,23.785714285714278,2,(none -- predict-mean baseline uses no features)
21,62.0,39.25,22.75,2,(none -- predict-mean baseline uses no features)
35,60.0,39.32142857142857,20.67857142857143,2,(none -- predict-mean baseline uses no features)
14,21.0,40.71428571428572,19.714285714285722,1,(none -- predict-mean baseline uses no features)
11,22.0,40.67857142857143,18.67857142857143,1,(none -- predict-mean baseline uses no features)
22,22.0,40.67857142857143,18.67857142857143,1,(none -- predict-mean baseline uses no features)
36,22.0,40.67857142857143,18.67857142857143,1,(none -- predict-mean baseline uses no features)
7,22.0,40.67857142857143,18.67857142857143,1,(none -- predict-mean baseline uses no features)
2,22.0,40.67857142857143,18.67857142857143,1,(none -- predict-mean baseline uses no features)
20,23.0,40.642857142857146,17.642857142857146,1,(none -- predict-mean baseline uses no features)
24,57.0,39.42857142857143,17.57142857142857,2,(none -- predict-mean baseline uses no features)
3,24.0,40.60714285714285,16.607142857142847,1,(none -- predict-mean baseline uses no features)
19,25.0,40.57142857142857,15.57142857142857,1,(none -- predict-mean baseline uses no features)
15,55.0,39.5,15.5,2,(none -- predict-mean baseline uses no features)
26,54.0,39.535714285714285,14.464285714285715,2,(none -- predict-mean baseline uses no features)
32,53.0,39.57142857142857,13.42857142857143,2,(none -- predict-mean baseline uses no features)
29,53.0,39.57142857142857,13.42857142857143,2,(none -- predict-mean baseline uses no features)
27,53.0,39.57142857142857,13.42857142857143,2,(none -- predict-mean baseline uses no features)
16,52.0,39.60714285714285,12.392857142857153,2,(none -- predict-mean baseline uses no features)
18,29.0,40.42857142857143,11.42857142857143,1,(none -- predict-mean baseline uses no features)
9,51.0,39.642857142857146,11.357142857142854,2,(none -- predict-mean baseline uses no features)
10,51.0,39.642857142857146,11.357142857142854,2,(none -- predict-mean baseline uses no features)
25,50.0,39.67857142857143,10.32142857142857,2,(none -- predict-mean baseline uses no features)
6,31.0,40.35714285714285,9.357142857142847,1,(none -- predict-mean baseline uses no features)
12,49.0,39.71428571428572,9.285714285714278,1,(none -- predict-mean baseline uses no features)
8,33.0,40.285714285714285,7.285714285714285,1,(none -- predict-mean baseline uses no features)
5,34.0,40.25,6.25,1,(none -- predict-mean baseline uses no features)
17,34.0,40.25,6.25,1,(none -- predict-mean baseline uses no features)
33,34.0,40.25,6.25,1,(none -- predict-mean baseline uses no features)
MEAN,,,14.46551724137931,,
