participant_id,actual_age,predicted_age,absolute_error,group,features_used_this_fold
13,63.0,35.87727007270819,27.122729927291807,2,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, peak_roll_walking"
14,21.0,47.22499588965562,26.224995889655617,1,"rom_pitch_walking, rom_pitch_walkingincline, stride_timing_cv_walking"
21,62.0,38.55693386595638,23.44306613404362,2,"stride_timing_cv_walkingincline, stride_timing_cv_walking, peak_roll_walkingincline"
22,22.0,43.361386526770346,21.361386526770346,1,"stride_timing_cv_walking, rom_pitch_stepforward, peak_roll_walkingincline"
11,22.0,42.12956617347066,20.129566173470657,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, peak_roll_walking"
8,33.0,52.615999470754936,19.615999470754936,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
7,22.0,41.57163310537546,19.57163310537546,1,"peak_roll_walkingincline, rom_roll_walkingincline, rom_roll_ratio_stepforward_walk"
32,53.0,34.209005460153016,18.790994539846984,2,"peak_roll_walkingincline, stride_timing_cv_walking, rom_roll_ratio_stepforward_walk"
33,34.0,51.59610369459483,17.59610369459483,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
18,29.0,46.22569096926347,17.225690969263468,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
20,23.0,37.50313956661086,14.503139566610862,1,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
35,60.0,45.8391180981389,14.160881901861103,2,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
17,34.0,46.50804464154877,12.508044641548771,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
12,49.0,36.915703412983206,12.084296587016794,1,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
2,22.0,33.44010153072989,11.44010153072989,1,"rom_roll_ratio_stepforward_walk, peak_roll_walkingincline, stride_timing_cv_walking"
16,52.0,40.6324438970682,11.3675561029318,2,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
26,54.0,42.97892647938411,11.021073520615893,2,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
25,50.0,39.03273874850728,10.967261251492722,2,"peak_roll_walkingincline, stride_timing_cv_walking, rom_roll_ratio_stepforward_walk"
29,53.0,42.4439996772986,10.5560003227014,2,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
6,31.0,41.25762204011399,10.257622040113993,1,"rom_roll_ratio_stepforward_walk, stride_timing_cv_walking, peak_roll_walkingincline"
19,25.0,34.1789905503619,9.178990550361902,1,"rom_roll_ratio_stepforward_walk, stride_timing_cv_walking, peak_roll_walkingincline"
24,57.0,48.11750498688854,8.882495013111459,2,"rom_roll_ratio_stepforward_walk, stride_timing_cv_walking, peak_roll_walkingincline"
15,55.0,46.526204050124726,8.473795949875274,2,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
10,51.0,43.09945551575089,7.90054448424911,2,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
5,34.0,41.84791314056141,7.84791314056141,1,"peak_roll_walkingincline, stride_timing_cv_walking, rom_roll_ratio_stepforward_walk"
9,51.0,43.53505329611658,7.46494670388342,2,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
36,22.0,29.325743260867355,7.325743260867355,1,"stride_timing_cv_walking, rom_roll_ratio_stepforward_walk, peak_roll_walkingincline"
3,24.0,21.79045410868504,2.20954589131496,1,"stride_timing_cv_walking, peak_roll_walkingincline, rom_roll_ratio_stepforward_walk"
27,53.0,51.59209621277402,1.4079037872259832,2,"peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking"
MEAN,,,13.470345609591096,,
